algorithm_id,instance,run_idx,hv,igd_plus,spacing,spread,n_pareto,n_f1_layers,status
nsga2,c103_21,21,688858007.266038,301.527242,0.883761,9213.3052,105,10,ok
nsga2,c103_21,22,676872493.474727,390.650866,0.496882,8074.4762,105,8,ok
nsga2,c103_21,23,529918451.131668,749.168041,0.68307,10716.6843,105,10,ok
nsga2,c103_21,24,686440655.12387,396.410743,0.587024,9866.4055,105,8,ok
nsga2,c103_21,25,652642035.841379,485.065955,0.630567,11595.4453,105,9,ok
nsga2,c103_21,26,591560852.672146,523.738399,0.51973,7245.3864,105,8,ok
nsga2,c103_21,27,560774454.93409,536.875588,0.583662,13346.2792,105,8,ok
nsga2,c103_21,28,609452597.552386,450.452641,0.764218,10245.1869,105,6,ok
nsga2,c103_21,29,632872825.602719,332.327567,0.633008,8212.0437,105,8,ok
nsga2,c103_21,30,576859391.199035,559.382583,0.803972,8608.9035,105,9,ok
smsemoa,c103_21,1,612242681.973337,418.787348,2.561699,8880.2738,105,9,ok
smsemoa,c103_21,2,600750050.085005,548.372739,1.491404,12780.6346,105,11,ok
smsemoa,c103_21,3,646278620.053152,362.704504,1.324886,6029.8013,105,8,ok
smsemoa,c103_21,4,659935677.277955,463.917226,1.093462,9575.0787,105,10,ok
smsemoa,c103_21,5,824397643.550545,0.250305,2.136869,3834.4509,104,8,ok
smsemoa,c103_21,6,725642739.339626,123.069621,1.8287,7522.433,105,8,ok
