perm_id,c_f1,c_f2,c_g2,c_n_vehicles,c_total_distance,c_n_recharges,c_n_skipped,c_feasible,a_f1,a_f2,a_g2,a_n_vehicles,a_total_distance,a_n_recharges,a_n_skipped,a_feasible
89,53871.88781544073,0.003074425747123799,0.0,48,5871.887815440732,141,0,1,7093.199551265315,0.861429602202635,89.30184932808508,2,5093.199551265315,80,0,0
90,53033.43522370691,0.0,0.0,47,6033.43522370691,138,0,1,7048.79341197519,0.8501865599246693,99.99267006139908,2,5048.79341197519,73,0,0
91,59301.87736724617,0.003999726622813005,0.0,53,6301.877367246166,156,0,1,7365.807961612274,0.8790378352850462,61.81466781171468,2,5365.807961612274,79,0,0
92,56226.55884563896,0.008964385668055241,0.0,50,6226.558845638958,147,0,1,7002.272513122011,0.839789137000974,79.56079833392582,2,5002.272513122011,74,0,0
93,57184.21862310385,0.0,0.0,51,6184.218623103853,150,0,1,7203.255492735303,0.8216866030165503,58.5301328655489,2,5203.255492735303,75,0,0
94,51557.41711397265,0.010496253159979707,0.0,46,5557.417113972652,135,0,1,6702.700050487415,0.7856999164320974,54.884036561817645,2,4702.700050487415,76,0,0
95,57254.56649804532,0.005851086570300201,0.0,51,6254.56649804532,150,0,1,7494.517680730063,0.8124672669604226,66.26979952668074,2,5494.517680730063,81,0,0
96,58366.05290506084,0.004696529108913383,0.0,52,6366.052905060837,153,0,1,7168.876220624052,0.8790220814089837,69.74095099556519,2,5168.876220624052,76,0,0
97,52643.56072001952,0.0025552945357246726,0.0,47,5643.560720019525,138,0,1,7077.861058049672,0.8292598281914076,35.20220265145679,2,5077.861058049672,81,0,0
98,54065.330232833825,0.00553914998807481,0.0,48,6065.330232833827,141,0,1,7179.703017955356,0.8415894982544198,56.09752922775542,2,5179.703017955356,76,0,0
99,53739.77752506311,0.006325679152363373,0.0,48,5739.777525063108,141,0,1,7113.465804155563,0.8242873118233195,71.54536981936775,2,5113.465804155563,75,0,0
100,53870.87377055092,0.00024164078649990817,0.0,48,5870.873770550922,141,0,1,6967.177216804306,0.8592225744319537,61.814776074173835,2,4967.177216804306,75,0,0
