algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
SMS-EMOA,45,4500,84,67.0000,4872.9174,1174.5529,74.8690,5051.5343,1188.3460,0.000000
SMS-EMOA,46,4600,85,66.0000,4872.9174,1174.5529,74.6353,5047.7880,1188.2248,0.000000
SMS-EMOA,47,4700,82,66.0000,4872.9174,1174.5529,74.5610,5041.2760,1187.0978,0.000000
SMS-EMOA,48,4800,78,66.0000,4831.2299,1174.5529,74.2564,5028.4801,1188.7027,0.000000
SMS-EMOA,49,4900,76,66.0000,4815.0808,1174.5529,73.8026,5021.4170,1190.0214,0.000000
SMS-EMOA,50,5000,78,66.0000,4815.0808,1174.5529,73.5000,5017.9856,1191.8715,0.000000
SMS-EMOA,51,5100,81,66.0000,4815.0808,1174.5529,73.1975,5008.5385,1191.5648,0.000000
SMS-EMOA,52,5200,84,66.0000,4815.0808,1174.5529,72.9881,5004.1983,1192.7301,0.000000
SMS-EMOA,53,5300,86,66.0000,4815.0808,1174.5529,72.8488,5001.4503,1193.0840,0.000000
SMS-EMOA,54,5400,85,66.0000,4815.0808,1174.5529,72.8118,4998.4193,1192.6962,0.000000
SMS-EMOA,55,5500,90,66.0000,4785.8300,1174.5529,72.5000,4988.2329,1193.1532,0.000000
SMS-EMOA,56,5600,90,66.0000,4785.8300,1174.5529,72.3111,4976.0838,1192.9194,0.000000
