algorithm,generation,n_eval,n_feasible,best_f1,best_f2,best_f3,mean_f1_feas,mean_f2_feas,mean_f3_feas,min_cv_pop
MOEA/D,90,9450,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,91,9555,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,92,9660,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,93,9765,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,94,9870,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,95,9975,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,96,10080,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,97,10185,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,98,10290,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,99,10395,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,100,10500,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,101,10605,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,102,10710,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,103,10815,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,104,10920,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,105,11025,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,106,11130,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,107,11235,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,108,11340,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,109,11445,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,110,11550,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,111,11655,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,112,11760,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,113,11865,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,114,11970,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,115,12075,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,116,12180,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,117,12285,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,118,12390,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,119,12495,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
MOEA/D,120,12600,105,4.0000,447.1985,1162.8058,4.9333,457.7303,1167.4177,0.000000
SMS-EMOA,1,43,0,,,,,,,0.236031
SMS-EMOA,2,143,5,7.0000,533.9319,1162.8058,7.8000,574.6972,1162.8058,0.000000
SMS-EMOA,3,243,15,6.0000,487.5756,1162.8058,7.4000,567.7099,1166.4826,0.000000
SMS-EMOA,4,343,22,5.0000,487.5756,1162.8058,7.2727,564.0203,1169.0731,0.000000
SMS-EMOA,5,443,36,5.0000,460.4382,1162.8058,7.1111,556.7603,1169.6998,0.000000
SMS-EMOA,6,543,42,5.0000,460.4382,1162.8058,7.0714,554.0983,1170.8873,0.000000
SMS-EMOA,7,643,52,5.0000,460.4382,1162.8058,6.7885,545.7410,1171.6527,0.000000
SMS-EMOA,8,743,57,5.0000,460.4382,1162.8058,6.6491,539.1749,1171.3605,0.000000
SMS-EMOA,9,843,60,5.0000,460.4382,1162.8058,6.5333,534.4303,1172.8972,0.000000
SMS-EMOA,10,943,66,5.0000,460.4382,1162.8058,6.4242,527.8016,1174.0689,0.000000
SMS-EMOA,11,1043,67,5.0000,460.4382,1162.8058,6.3134,524.1701,1175.2484,0.000000
SMS-EMOA,12,1143,71,5.0000,450.9004,1162.8058,6.2394,520.4732,1174.9358,0.000000
SMS-EMOA,13,1243,71,5.0000,450.9004,1162.8058,6.1690,517.1914,1174.1590,0.000000
SMS-EMOA,14,1343,75,5.0000,450.9004,1162.8058,6.0267,511.2106,1174.2888,0.000000
SMS-EMOA,15,1443,75,5.0000,450.9004,1162.8058,6.0000,508.2378,1172.1480,0.000000
SMS-EMOA,16,1543,73,5.0000,450.9004,1162.8058,5.9589,503.4633,1172.4039,0.000000
SMS-EMOA,17,1643,70,5.0000,450.9004,1162.8058,5.9143,499.7199,1173.3308,0.000000
SMS-EMOA,18,1743,69,5.0000,450.9004,1162.8058,5.8551,497.3190,1173.8830,0.000000
SMS-EMOA,19,1843,69,5.0000,450.9004,1162.8058,5.8551,497.1446,1173.8830,0.000000
SMS-EMOA,20,1943,69,5.0000,437.0246,1162.8058,5.8261,494.6468,1173.5661,0.000000
SMS-EMOA,21,2043,69,5.0000,437.0246,1162.8058,5.7971,493.9978,1173.9657,0.000000
SMS-EMOA,22,2143,71,5.0000,437.0246,1162.8058,5.7887,493.3675,1174.4282,0.000000
SMS-EMOA,23,2243,70,5.0000,437.0246,1162.8058,5.7571,491.5730,1174.7158,0.000000
SMS-EMOA,24,2343,71,5.0000,437.0246,1162.8058,5.7324,491.6304,1175.4447,0.000000
SMS-EMOA,25,2443,69,5.0000,437.0246,1162.8058,5.6812,488.7259,1175.9343,0.000000
SMS-EMOA,26,2543,69,5.0000,437.0246,1162.8058,5.6667,488.0187,1175.9343,0.000000
